id_hogar,id_persona,presencia_carencia_salud_persona,presencia_rezago_educativo_persona,presencia_carencia_seguridad_social_persona
2767119,27671191,no,no,no
2767119,27671192,no,no,no
2767119,27671193,no,no,no
2767119,27671194,,,yes
2767121,27671211,,no,yes
2767121,27671212,no,no,yes
2767121,27671213,no,no,yes
2767121,27671214,,no,yes
2767121,27671215,,yes,yes
2767122,27671221,no,no,yes
2767122,27671222,no,no,no
2767122,27671223,no,no,yes
2767122,27671224,no,no,no
2767122,27671225,no,no,no
2767127,27671271,no,no,no
2767127,27671272,no,no,no
2767131,27671311,no,no,no
2767131,27671312,no,no,no
2767131,27671313,no,no,yes
2767131,27671314,no,no,yes
2767131,27671315,no,no,yes
2767132,27671321,no,no,yes
2767132,27671322,yes,no,yes
2767132,27671323,no,no,no
2767132,27671324,no,no,no
2767132,27671325,no,no,yes
2767144,27671441,,yes,no
2767145,27671451,no,yes,yes
2767145,27671452,no,yes,no
2767145,27671453,no,no,no
2767147,27671471,no,yes,yes
2767147,27671472,,no,yes
2767147,27671473,,no,yes
2767147,27671474,,yes,no
2767147,27671475,no,no,no
2767147,27671476,,no,yes
2767147,27671477,no,no,no
2767147,27671478,no,no,no
2767147,27671479,no,no,yes
2767147,276714710,no,no,yes
2767147,276714711,,no,yes
2767151,27671511,yes,no,yes
2767151,27671512,no,no,no
2767151,27671513,no,no,yes
2767151,27671514,no,no,yes
2767151,27671515,yes,no,yes
2767151,27671516,no,yes,no
2767151,27671517,no,yes,no
2767151,27671518,yes,no,yes
2767151,27671519,yes,yes,yes
2767151,276715110,no,no,yes
2767151,276715111,yes,no,yes
2767151,276715112,yes,no,yes
2767155,27671551,no,yes,no
2767155,27671552,no,no,no
2767155,27671553,no,yes,no
2767155,27671554,no,no,no
2767155,27671555,no,no,yes
2767155,27671556,no,no,yes
2767155,27671557,no,no,yes
2767156,27671561,no,yes,no
2767156,27671562,no,no,yes
2767156,27671563,yes,no,yes
2767156,27671564,no,no,no
2767156,27671565,no,no,no
2767157,27671571,no,no,no
2767157,27671572,no,no,yes
2767158,27671581,no,yes,no
2767158,27671582,no,yes,no
2767158,27671583,no,no,yes
2767159,27671591,no,no,yes
2767159,27671592,,no,yes
2767159,27671593,,no,yes
2767163,27671631,no,no,no
2767163,27671632,no,yes,no
2767163,27671633,no,no,no
2767165,27671651,,no,no
2767165,27671652,,no,yes
2767167,27671671,,yes,no
2767167,27671672,,no,yes
2767167,27671673,no,no,no
2767167,27671674,no,no,yes
2767167,27671675,no,no,yes
2767173,27671731,no,yes,no
2767173,27671732,no,,yes
2767173,27671733,yes,yes,yes
2767173,27671734,yes,yes,yes
2767173,27671735,yes,,yes
2767174,27671741,no,no,no
2767174,27671742,no,no,yes
2767174,27671743,,no,yes
2767174,27671744,,yes,yes
2767174,27671745,,no,yes
2767174,27671746,,no,yes
2767174,27671747,,no,yes
2767174,27671748,,no,yes
2767177,27671771,no,no,yes
2767177,27671772,no,no,yes
2767178,27671781,yes,no,yes
2767178,27671782,no,no,no
2767178,27671783,no,no,no
2767178,27671784,no,,no
2767178,27671785,no,no,no
2767178,27671786,no,no,no
2767178,27671787,no,yes,yes
2767179,27671791,no,no,yes
2767179,27671792,no,no,no
2767179,27671793,yes,no,yes
2767179,27671794,yes,yes,yes
2767180,27671801,yes,no,no
2767181,27671811,no,no,yes
2767181,27671812,no,no,no
2767181,27671813,no,no,yes
2767181,27671814,no,no,yes
2767181,27671815,no,no,yes
2767184,27671841,no,no,yes
2767184,27671842,no,no,no
2767184,27671843,no,no,no
2767185,27671851,no,yes,no
2767185,27671852,,no,yes
2767185,27671853,no,yes,no
2767186,27671861,,yes,no
2767186,27671862,no,no,no
2767187,27671871,no,no,no
2767187,27671872,no,no,no
2767187,27671873,no,yes,yes
2767198,27671981,no,no,no
2767198,27671982,no,no,no
2767198,27671983,no,no,yes
2767200,27672001,no,yes,no
2767200,27672002,no,no,yes
2767200,27672003,no,no,no
2767200,27672004,no,no,yes
2767200,27672005,no,no,no
2767200,27672006,no,no,no
2767200,27672007,no,no,no
2767200,27672008,no,no,yes
2767200,27672009,no,no,no
2767200,276720010,no,no,no
2767200,276720011,no,yes,yes
2767200,276720012,no,no,yes
2767201,27672011,no,no,no
2767201,27672012,no,no,yes
2767203,27672031,yes,no,yes
2767203,27672032,no,no,yes
2767203,27672033,yes,no,yes
2767203,27672034,yes,no,yes
2767203,27672035,yes,no,yes
2767203,27672036,no,yes,yes
2767203,27672037,yes,no,yes
2767211,27672111,no,yes,yes
2767211,27672112,no,no,no
2767211,27672113,yes,yes,yes
2767218,27672181,no,no,no
2767218,27672182,no,no,no
2767218,27672183,no,no,yes
2767218,27672184,no,no,yes
2767221,27672211,no,yes,no
2767221,27672212,yes,no,yes
2767221,27672213,no,no,yes
2767221,27672214,no,no,yes
2767221,27672215,no,no,no
2767221,27672216,,no,yes
2767221,27672217,,,yes
2767221,27672218,yes,yes,yes
2767221,27672219,yes,yes,yes
2767221,276722110,yes,no,yes
2767221,276722111,yes,no,yes
2767223,27672231,no,yes,no
2767223,27672232,yes,no,yes
2767223,27672233,yes,no,yes
2767223,27672234,no,no,no
2767223,27672235,yes,no,yes
2767224,27672241,yes,yes,no
2767224,27672242,no,no,no
2767224,27672243,no,no,no
2767224,27672244,no,no,no
2767224,27672245,no,no,no
2767224,27672246,no,no,no
2767224,27672247,no,no,no
2767224,27672248,no,no,yes
2767226,27672261,no,yes,no
2767227,27672271,,no,yes
2767228,27672281,no,no,no
2767228,27672282,no,no,no
2767229,27672291,,no,yes
2767236,27672361,yes,yes,yes
2767236,27672362,yes,yes,yes
2767236,27672363,yes,yes,yes
2767236,27672364,yes,no,yes
2767236,27672365,yes,yes,yes
2767236,27672366,yes,yes,yes
2767237,27672371,,no,yes
2767237,27672372,,no,yes
2767237,27672373,,yes,no
2767237,27672374,no,yes,yes
2767237,27672375,no,yes,yes
2767238,27672381,no,no,no
2767238,27672382,no,no,no
2767239,27672391,,yes,yes
2767239,27672392,,no,yes
2767240,27672401,yes,no,yes
2767240,27672402,no,no,no
2767240,27672403,yes,no,yes
2767240,27672404,yes,no,yes
2767240,27672405,no,no,yes
2767240,27672406,no,no,yes
2767240,27672407,yes,yes,yes
2767240,27672408,yes,yes,yes
2767244,27672441,no,yes,no
2767244,27672442,no,no,no
2767244,27672443,no,no,no
2767245,27672451,no,no,no
2767245,27672452,no,no,yes
2767245,27672453,,no,yes
2767248,27672481,no,yes,no
2767248,27672482,no,no,no
2767248,27672483,no,no,no
2767248,27672484,,no,yes
2767248,27672485,no,no,yes
2767251,27672511,no,no,no
2767251,27672512,no,yes,no
2767252,27672521,no,no,yes
2767252,27672522,no,no,no
2767252,27672523,no,no,no
2767252,27672524,no,no,no
2767252,27672525,no,no,no
2767253,27672531,yes,no,no
2767253,27672532,yes,no,yes
2767253,27672533,no,no,no
2767253,27672534,yes,,yes
2767253,27672535,yes,no,yes
2767253,27672536,no,no,no
2767254,27672541,no,no,yes
2767254,27672542,,yes,yes
2767254,27672543,,yes,yes
2767255,27672551,no,yes,no
2767255,27672552,no,yes,no
2767255,27672553,no,no,no
2767255,27672554,,no,yes
2767256,27672561,yes,no,yes
2767256,27672562,yes,no,yes
2767256,27672563,yes,no,yes
2767257,27672571,yes,yes,no
2767258,27672581,no,no,yes
2767258,27672582,no,no,no
2767258,27672583,no,no,no
2767258,27672584,no,no,yes
2767259,27672591,no,no,no
2767259,27672592,yes,no,yes
2767259,27672593,no,yes,no
2767267,27672671,no,yes,no
2767267,27672672,no,yes,no
2767267,27672673,no,no,no
2767267,27672674,yes,no,yes
2767267,27672675,no,no,no
2767267,27672676,no,no,yes
2767270,27672701,no,yes,no
2767270,27672702,,yes,yes
2767270,27672703,no,yes,no
2767270,27672704,no,no,no
2767270,27672705,no,no,yes
2767270,27672706,,no,yes
2767270,27672707,no,no,no
2767270,27672708,,yes,yes
2767270,27672709,,yes,yes
2767270,276727010,no,no,yes
2767271,27672711,no,no,no
2767271,27672712,no,no,no
2767271,27672713,,no,yes
2767271,27672714,,no,yes
2767272,27672721,no,no,yes
2767272,27672722,no,no,yes
2767272,27672723,no,yes,no
2767272,27672724,no,yes,yes
2767272,27672725,,no,yes
2767272,27672726,no,yes,yes
2767272,27672727,no,no,no
2767272,27672728,no,no,no
2767273,27672731,no,no,yes
2767273,27672732,,no,yes
2767274,27672741,no,no,no
2767274,27672742,,no,yes
2767281,27672811,yes,no,yes
2767281,27672812,yes,no,yes
2767282,27672821,yes,no,yes
2767282,27672822,yes,no,yes
2767282,27672823,yes,no,yes
2767282,27672824,yes,yes,yes
2767282,27672825,no,yes,yes
2767282,27672826,no,no,no
2767282,27672827,yes,yes,yes
2767283,27672831,no,no,no
2767283,27672832,no,no,no
2767283,27672833,no,yes,no
2767283,27672834,yes,no,yes
2767283,27672835,no,no,yes
2767283,27672836,no,no,yes
2767283,27672837,yes,yes,yes
2767286,27672861,no,no,no
2767286,27672862,no,no,no
2767286,27672863,no,no,no
2767286,27672864,no,no,yes
2767286,27672865,no,no,yes
2767289,27672891,yes,yes,yes
2767289,27672892,yes,no,yes
2767289,27672893,yes,no,yes
2767290,27672901,yes,yes,yes
2767290,27672902,yes,no,yes
2767290,27672903,yes,no,yes
2767291,27672911,no,no,yes
2767291,27672912,no,yes,no
2767291,27672913,,no,yes
2767293,27672931,yes,no,yes
2767293,27672932,no,no,yes
2767296,27672961,no,yes,no
2767297,27672971,no,yes,no
2767297,27672972,no,yes,no
2767297,27672973,no,yes,no
2767297,27672974,yes,no,yes
2767301,27673011,,no,yes
2767301,27673012,no,no,no
2767301,27673013,no,no,no
2767301,27673014,no,no,yes
2767301,27673015,no,no,yes
2767301,27673016,no,no,yes
2767302,27673021,,no,yes
2767302,27673022,,no,yes
2767302,27673023,no,no,yes
2767304,27673041,no,no,no
2767304,27673042,,no,yes
2767304,27673043,,yes,yes
2767304,27673044,no,yes,no
2767304,27673045,no,no,yes
2767306,27673061,yes,yes,no
2767306,27673062,no,no,no
2767306,27673063,yes,no,yes
2767306,27673064,no,no,no
2767307,27673071,no,no,no
2767307,27673072,no,no,no
2767307,27673073,no,no,no
2767307,27673074,no,no,yes
2767308,27673081,yes,no,yes
2767308,27673082,yes,no,yes
2767308,27673083,no,yes,no
2767308,27673084,no,no,yes
2767308,27673085,yes,yes,yes
2767308,27673086,yes,no,yes
2767308,27673087,yes,no,yes
2767311,27673111,no,no,no
2767311,27673112,no,no,yes
2767311,27673113,yes,no,yes
2767311,27673114,yes,no,yes
2767311,27673115,no,no,yes
2767312,27673121,no,no,no
2767312,27673122,no,no,yes
2767312,27673123,no,no,yes
2767312,27673124,no,yes,yes
2767313,27673131,yes,,yes
2767313,27673132,yes,yes,yes
2767315,27673151,no,no,no
2767315,27673152,no,no,no
2767315,27673153,yes,yes,yes
2767315,27673154,no,no,yes
2767315,27673155,no,yes,yes
2767315,27673156,no,yes,yes
2767316,27673161,no,no,yes
2767316,27673162,no,no,no
2767316,27673163,yes,no,yes
2767319,27673191,yes,no,yes
2767319,27673192,yes,yes,yes
2767319,27673193,yes,yes,yes
2767324,27673241,no,yes,no
2767330,27673301,no,no,no
2767330,27673302,no,yes,yes
2767330,27673303,no,no,yes
2767330,27673304,no,no,yes
2767331,27673311,,no,yes
2767331,27673312,yes,no,yes
2767331,27673313,yes,no,yes
2767331,27673314,yes,yes,yes
2767331,27673315,yes,no,yes
2767331,27673316,yes,no,yes
2767333,27673331,no,no,yes
2767333,27673332,no,no,yes
2767333,27673333,no,no,no
2767333,27673334,no,no,no
2767333,27673335,no,no,yes
2767335,27673351,yes,yes,yes
2767335,27673352,yes,yes,yes
2767335,27673353,no,yes,no
