id_hogar,id_persona,es_elegible_desde_la_cuna,es_elegible_mi_beca_para_empezar,es_elegible_beca_rita_cetina,es_elegible_beca_benito_juarez,es_elegible_jovenes_escribiendo_el_futuro,es_elegible_jovenes_construyendo_futuro,es_elegible_seguro_desempleo_cdmx,es_elegible_ingreso_ciudadano_universal,es_elegible_pension_mujeres_bienestar,es_elegible_imss_bienestar,es_elegible_inea,es_elegible_leche_bienestar,es_elegible_pension_adultos_mayores
2767119,27671191,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767119,27671192,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767119,27671193,no,no,no,no,no,no,no,no,no,no,no,no,no
2767119,27671194,no,no,no,no,no,no,no,no,no,,,no,no
2767121,27671211,no,yes,no,no,no,no,no,no,no,,no,yes,no
2767121,27671212,no,no,no,no,no,no,no,no,no,no,no,no,no
2767121,27671213,no,no,no,no,no,no,no,no,no,no,no,no,no
2767121,27671214,no,no,no,yes,yes,no,no,no,no,,no,no,no
2767121,27671215,no,no,no,no,no,no,no,no,no,,yes,no,no
2767122,27671221,no,no,no,no,no,no,no,no,yes,no,no,yes,no
2767122,27671222,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767122,27671223,no,no,no,no,no,no,no,no,no,no,no,no,no
2767122,27671224,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767122,27671225,no,no,no,no,no,no,no,no,yes,no,no,yes,no
2767127,27671271,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767127,27671272,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767131,27671311,no,no,no,no,no,no,no,no,yes,no,no,yes,no
2767131,27671312,no,no,no,no,no,no,no,no,no,no,no,no,no
2767131,27671313,no,no,no,yes,yes,no,no,no,no,no,no,no,no
2767131,27671314,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
2767131,27671315,no,yes,no,no,no,no,no,no,no,no,no,yes,no
2767132,27671321,no,no,no,no,no,no,no,no,no,no,no,yes,no
2767132,27671322,no,no,no,no,no,no,no,yes,no,yes,no,no,no
2767132,27671323,no,no,no,no,no,no,no,no,no,no,no,no,no
2767132,27671324,no,no,no,yes,yes,no,no,no,no,no,no,no,no
2767132,27671325,no,no,no,yes,yes,no,no,no,no,no,no,no,no
2767144,27671441,no,no,no,no,no,no,no,no,no,,yes,yes,no
2767145,27671451,no,no,no,no,no,no,no,no,no,no,yes,no,no
2767145,27671452,no,no,no,no,no,no,no,no,no,no,yes,no,no
